STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1631189375|1631189459|84000|2021/09/09:17:39:35|2021/09/09:17:40:59|0h 1m 24s|q22|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|4612
1631189472|1631189569|97000|2021/09/09:17:41:12|2021/09/09:17:42:49|0h 1m 37s|q20|1|throughput_test_1|0|FAILED|127|EMPTY|0
1631189581|1631189684|103000|2021/09/09:17:43:01|2021/09/09:17:44:44|0h 1m 43s|q29|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|341
1631189696|1631189739|43000|2021/09/09:17:44:56|2021/09/09:17:45:39|0h 0m 43s|q27|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|75324
1631189751|1631189840|89000|2021/09/09:17:45:51|2021/09/09:17:47:20|0h 1m 29s|q05|1|throughput_test_1|0|FAILED|2|EMPTY|0
1631189852|1631190012|160000|2021/09/09:17:47:32|2021/09/09:17:50:12|0h 2m 40s|q25|1|throughput_test_1|0|FAILED|127|EMPTY|0
1631190024|1631190032|8000|2021/09/09:17:50:24|2021/09/09:17:50:32|0h 0m 8s|q18|1|throughput_test_1|0|FAILED|64|EMPTY|0
1631190044|1631190149|105000|2021/09/09:17:50:44|2021/09/09:17:52:29|0h 1m 45s|q01|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|45
1631190161|1631190218|57000|2021/09/09:17:52:41|2021/09/09:17:53:38|0h 0m 57s|q03|1|throughput_test_1|0|FAILED|32|EMPTY|0
1631190231|1631190361|130000|2021/09/09:17:53:51|2021/09/09:17:56:01|0h 2m 10s|q13|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|3035
1631190373|1631190489|116000|2021/09/09:17:56:13|2021/09/09:17:58:09|0h 1m 56s|q12|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|2361
1631190501|1631190509|8000|2021/09/09:17:58:21|2021/09/09:17:58:29|0h 0m 8s|q23|1|throughput_test_1|0|FAILED|64|EMPTY|0
1631190521|1631190530|9000|2021/09/09:17:58:41|2021/09/09:17:58:50|0h 0m 9s|q04|1|throughput_test_1|0|FAILED|64|EMPTY|0
1631190542|1631190676|134000|2021/09/09:17:59:02|2021/09/09:18:01:16|0h 2m 14s|q06|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|6973
1631190689|1631190799|110000|2021/09/09:18:01:29|2021/09/09:18:03:19|0h 1m 50s|q11|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|10
1631190812|1631190962|150000|2021/09/09:18:03:32|2021/09/09:18:06:02|0h 2m 30s|q10|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|50344544
1631190976|1631191120|144000|2021/09/09:18:06:16|2021/09/09:18:08:40|0h 2m 24s|q19|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|108695
1631191132|1631191211|79000|2021/09/09:18:08:52|2021/09/09:18:10:11|0h 1m 19s|q08|1|throughput_test_1|0|FAILED|32|EMPTY|0
1631191224|1631191268|44000|2021/09/09:18:10:24|2021/09/09:18:11:08|0h 0m 44s|q09|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|5
1631191280|1631191326|46000|2021/09/09:18:11:20|2021/09/09:18:12:06|0h 0m 46s|q14|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|7
1631191339|1631191401|62000|2021/09/09:18:12:19|2021/09/09:18:13:21|0h 1m 2s|q02|1|throughput_test_1|0|FAILED|32|EMPTY|0
1631191414|1631191423|9000|2021/09/09:18:13:34|2021/09/09:18:13:43|0h 0m 9s|q17|1|throughput_test_1|0|FAILED|64|EMPTY|0
1631191435|1631191499|64000|2021/09/09:18:13:55|2021/09/09:18:14:59|0h 1m 4s|q26|1|throughput_test_1|0|FAILED|127|EMPTY|0
1631191511|1631191687|176000|2021/09/09:18:15:11|2021/09/09:18:18:07|0h 2m 56s|q07|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|70
1631191700|1631191865|165000|2021/09/09:18:18:20|2021/09/09:18:21:05|0h 2m 45s|q24|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|17
1631191878|1631191962|84000|2021/09/09:18:21:18|2021/09/09:18:22:42|0h 1m 24s|q16|1|throughput_test_1|0|SUCCESS|0|HAS_RESULT|3124
